State,Total,< 5,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,> 85,Median
Alabama,4849377,6.0,6.3,6.6,6.8,7.1,6.3,6.4,6.0,6.6,6.3,7.1,6.9,6.1,5.1,3.8,2.8,1.9,1.7,38.6
Alaska,736732,7.2,7.2,6.9,6.9,8.6,8.2,7.3,6.3,6.4,6.2,6.9,6.9,5.6,3.9,2.4,1.5,0.9,0.8,33.3
Arizona,6731484,6.4,6.8,6.8,6.8,7.3,6.7,6.6,6.2,6.3,6.0,6.4,6.1,5.7,5.2,4.1,2.9,2.0,1.8,36.9
Arkansas,2966369,6.4,6.7,6.6,6.9,7.0,6.4,6.3,6.4,6.3,6.1,6.7,6.5,6.0,5.2,3.9,2.8,2.0,1.9,37.8
California,38802500,6.5,6.6,6.5,6.8,7.5,7.5,7.2,6.6,6.7,6.6,6.8,6.2,5.4,4.3,3.0,2.2,1.6,1.7,36.0
Colorado,5355866,6.2,6.6,6.7,6.3,7.2,7.4,7.5,7.0,6.6,6.4,6.9,6.6,6.0,4.6,3.1,2.1,1.4,1.5,36.3
Connecticut,3596677,5.3,5.8,6.5,7.0,6.8,6.1,6.1,5.9,6.4,7.3,8.0,7.4,6.1,5.0,3.5,2.6,2.0,2.4,40.5
Delaware,935614,6.0,6.1,6.1,6.5,6.8,6.7,6.3,5.9,6.1,6.5,7.2,7.4,6.0,5.6,4.2,2.9,1.9,1.8,39.6
District of Columbia,658893,6.5,4.7,3.9,5.7,8.9,11.8,11.0,8.0,6.0,5.8,5.9,5.5,5.0,3.4,3.0,2.1,1.3,1.5,33.8
Florida,19893297,5.4,5.6,5.8,6.0,6.6,6.4,6.2,5.9,6.3,6.6,7.2,6.7,6.2,5.8,4.7,3.5,2.5,2.6,41.6
Georgia,10097343,6.5,7.0,7.1,7.1,7.2,6.8,6.8,6.7,7.1,6.8,6.9,6.2,5.5,4.4,3.2,2.1,1.4,1.3,36.1
Hawaii,1419561,6.4,6.0,6.0,5.6,7.3,7.7,7.1,6.2,6.2,6.1,6.5,6.5,6.2,5.5,3.4,2.4,2.0,2.7,38.1
Idaho,1634464,6.8,7.5,7.6,7.3,6.8,6.4,6.5,6.2,6.2,5.7,6.3,6.1,6.1,4.9,3.7,2.5,1.6,1.6,35.9
Illinois,12880580,6.1,6.4,6.6,6.8,7.0,6.9,6.9,6.5,6.6,6.6,7.1,6.8,5.8,4.5,3.3,2.4,1.8,1.9,37.5
