State,Total,White,African American,Native American,Asian,Pacific Islander,Other,Two or more races,% White,% African American,% Native American,% Asian,% Pacific Islander,% Other,% Two or more races
Alabama,4863300,3316384,1301102,24509,65611,1503,70333,83858,0.6819205066518619,0.26753480147225134,0.005039582176711286,0.013491045175086876,0.0003090494108938375,0.014461990829272305,0.01724302428392244
Alaska,741894,477895,23753,108056,45580,9937,12712,63961,0.6441553645129897,0.03201670319479602,0.1456488393220595,0.06143734819259894,0.013394096730799818,0.017134523260735363,0.08621312478602064
Arizona,6931071,5254944,299674,306247,220438,14140,585948,249680,0.7581720054519713,0.04323631946635664,0.044184657753469844,0.03180431999614489,0.0020400887539602465,0.08453931578539593,0.03602329279270116
Arkansas,2988248,2290066,464516,18859,41781,8808,86797,77421,0.7663574107637653,0.15544760675820748,0.006311055842754684,0.013981771258610396,0.002947546522243134,0.02904611665430714,0.025908492200111904
California,39250017,23420234,2265280,290133,5602074,150521,5642125,1879650,0.5966936014320707,0.05771411513019217,0.007391920365282899,0.14272793818152996,0.0038349282753176897,0.14374834538288225,0.04788915123272431
Colorado,5540545,4654921,234142,54743,175951,8325,228102,184361,0.8401557969477732,0.04225974159581774,0.009880435949893017,0.03175698419559809,0.0015025597662323832,0.04116959613178848,0.03327488541289711
Connecticut,3576452,2741892,378932,9887,161950,1259,171008,111524,0.7666514187804002,0.1059519322501742,0.002764471604819525,0.04528230771725721,0.00035202485591865907,0.047814985354200194,0.03118285943722997
Delaware,952065,659091,209911,4055,35646,2053,15595,25714,0.6922752123016811,0.22047969413853047,0.004259162977317725,0.037440720959178206,0.002156365374212895,0.01638018412608383,0.027008660122995805
District of Columbia,681170,277268,320554,2004,26436,41,37132,17735,0.4070466990619082,0.4705932439772744,0.002941996858346668,0.03880969508345934,6.0190554487132436e-05,0.054512089493078085,0.02603608497144619
Florida,20612439,15574165,3310428,52738,559393,12540,570424,532751,0.7555711868935064,0.16060341039699377,0.002558552144168868,0.027138612757083236,0.0006083705087010809,0.027673775044282728,0.025846092255263922
Georgia,10310371,6054861,3254495,37939,398897,6503,299220,258456,0.5872592751512046,0.3156525599321305,0.003679693000377969,0.03868890847865707,0.0006307241514393614,0.029021264123279367,0.025067575162911207
Hawaii,1428557,357994,25898,2649,543448,144568,12321,341679,0.25059833104314355,0.01812878310070932,0.0018543187286191591,0.38041744221616636,0.10119862210608327,0.008624787110349814,0.23917771569492852
Idaho,1683140,1510119,11437,26596,24406,2375,66137,42070,0.8972034411873047,0.00679503784593082,0.01580141877681001,0.01450027923999192,0.0014110531506588875,0.039293819884263934,0.024994949915039748
Illinois,12801539,9123763,1813477,30470,684783,4851,822784,321411,0.7127082923389133,0.14166085812026194,0.0023801825702362816,0.053492240268923914,0.00037893881352859214,0.06427227226351456,0.025107215624621385
Indiana,6633053,5536418,617745,17515,141451,3526,157755,158643,0.834671153690465,0.09313132278605342,0.002640563854985027,0.021325172586439456,0.000531580254220794,0.02378316591168501,0.02391704091615128
Iowa,3134693,2834162,111867,10488,74805,3949,42129,57293,0.9041274536294304,0.03568674827168083,0.003345782186644753,0.023863580899309757,0.0012597724880873502,0.013439593606136231,0.0182770689187107
Kansas,2907289,2458966,166551,21620,79741,2922,74123,103366,0.845793452250533,0.0572873904176709,0.007436481202935105,0.027427957798485118,0.0010050600404706929,0.025495573367491156,0.03555408492241397
Kentucky,4436974,3866333,366157,11140,61311,2307,37591,92135,0.8713896002095122,0.08252403552511238,0.002510720143953965,0.013818201323694932,0.0005199489562030339,0.008472215523462612,0.020765278318060913
Louisiana,4681666,2901495,1514755,25508,77921,1030,68208,92749,0.6197569412256235,0.3235504198719003,0.005448487781913532,0.016643861394640285,0.00022000715130041315,0.014569172597959786,0.019811109976662154
Maine,1331479,1257120,19963,7893,17499,214,2450,26340,0.9441530808972579,0.014993101656128261,0.005927994358153602,0.013142527970775355,0.00016072352624412403,0.0018400590621406722,0.019782512529300123
Maryland,6016447,3397255,1793593,15234,376518,2480,230326,201041,0.5646613358349205,0.29811498381021223,0.002532059203712756,0.06258145380487853,0.00041220341507205164,0.03828272733059894,0.033415236600604976
